noc_title,exposed_to_disease_infections,median_hourly_wage,physical_proximity,pop,occupation_type
1451 Library assistants and clerks,0.015,17,0.535,20,Other
2153 Urban and land use planners,0.0575,36.06,0.535,3470,Other
5122 Editors,0,25,0.535,5080,Other
"1315 Customs, ship and other brokers",0.0125,24,0.5375,1765,Other
2281 Computer network technicians,0.025,32,0.5375,17740,Other
7442 Waterworks and gas maintenance workers,0.1675,34,0.5375,1240,Other
1422 Data entry clerks,0.03,20,0.5425,11930,Other
5231 Announcers and other broadcasters,0.0975,21.98,0.5425,1300,Other
9532 Furniture and fixture assemblers and inspectors,0.0225,18,0.5425,4065,Other
9534 Furniture finishers and refinishers,0.0225,17,0.5425,1575,Other
9611 Labourers in mineral and metal processing,0.005,18,0.5425,2985,Other
9613 Labourers in chemical products processing and utilities,0.005,20,0.5425,3670,Other
9615 Labourers in rubber and plastic products manufacturing,0.005,14,0.5425,3310,Other
"9619 Other labourers in processing, manufacturing and utilities",0.005,14,0.5425,37740,Other
5123 Journalists,0.09,33.27,0.545,3065,Other
6332 Bakers,0.0725,14,0.5475,14500,Sales & Service
6521 Travel counsellors,0.0025,17.5,0.5475,775,Sales & Service
6563 Pet groomers and animal care workers,0.3425,14,0.5475,1550,Sales & Service
4154 Professional occupations in religion,0.3975,23.65,0.5475,715,Other
0125 Other business services managers,0.14,35,0.5525,7265,Other
0131 Telecommunication carriers managers,0.14,48.08,0.5525,1050,Other
0411 Government managers - health and social policy development and program administration,0.14,56.41,0.5525,865,Other
"0412 Government managers - economic analysis, policy development and program administration",0.14,49.23,0.5525,1010,Other
0414 Other managers in public administration,0.14,53.85,0.5525,1230,Other
"0511 Library, archive, museum and art gallery managers",0.14,38.46,0.5525,215,Other
"0512 Managers - publishing, motion pictures, broadcasting and performing arts",0.14,28.85,0.5525,1890,Other
0714 Facility operation and maintenance managers,0.14,31.25,0.5525,14860,Other
0911 Manufacturing managers,0.045,40.72,0.5525,23835,Other
0912 Utilities managers,0.14,60.44,0.5525,2520,Other
2141 Industrial and manufacturing engineers,0.015,32.78,0.5525,5870,Other
7272 Cabinetmakers,0.0025,18,0.5525,4625,Other
9473 Binding and finishing machine operators,0,17.65,0.5525,370,Other
9471 Plateless printing equipment operators,0.04,22.5,0.555,1255,Other
"9472 Camera, platemaking and other prepress occupations",0,23,0.555,380,Other
"1214 Supervisors, mail and message distribution occupations",0.1675,22,0.5575,1785,Other
2112 Chemists,0.2325,32.69,0.565,5215,Other
2231 Civil engineering technologists and technicians,0.2175,24.04,0.565,3245,Other
2252 Industrial designers,0.0525,28.21,0.565,1965,Other
7232 Tool and die makers,0,27,0.5675,7440,Other
7521 Heavy equipment operators (except crane),0.02,30,0.57,11755,Other
9431 Sawmill machine operators,0.055,24,0.57,570,Other
1512 Letter carriers,0.0825,25,0.5725,8890,Other
4155 Probation and parole officers and related occupations,0.52,40.26,0.5725,1030,Other
6222 Retail and wholesale buyers,0.1025,23.08,0.575,9695,Sales & Service
6552 Other customer and information services representatives,0.0475,17.5,0.575,63655,Sales & Service
"9411 Machine operators, mineral and metal processing",0.13,19.47,0.575,2235,Other
9418 Other metal products machine operators,0.13,18.5,0.575,2720,Other
"4153 Family, marriage and other related counsellors",0.3025,28.85,0.5775,5775,Other
1227 Court officers and justices of the peace,0.365,35,0.58,1450,Other
2241 Electrical and electronics engineering technologists and technicians,0.0525,28.21,0.58,11310,Other
2132 Mechanical engineers,0.065,36.06,0.5825,14465,Other
"2148 Other professional engineers, n.e.c.",0.065,36.32,0.5825,1045,Other
2211 Chemical technologists and technicians,0.08,23,0.5825,6400,Other
9474 Photographic and film processors,0.41,17.5,0.5825,255,Other
"9231 Central control and process operators, mineral and metal processing",0.04,33,0.585,360,Other
"9525 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",0.065,18,0.585,715,Other
0422 School principals and administrators of elementary and secondary education,0.4875,48.56,0.5875,30,Other
"0423 Managers in social, community and correctional services",0.3475,42,0.5875,5685,Other
"9523 Electronics assemblers, fabricators, inspectors and testers",0.0275,15,0.5875,6935,Other
"9527 Machine operators and inspectors, electrical apparatus manufacturing",0.0275,21.27,0.5875,780,Other
5251 Athletes,0.0575,23.39,0.5925,20,Other
7293 Insulators,0.24,31.4,0.5925,2065,Other
9422 Plastics processing machine operators,0.025,15,0.5925,8690,Other
9521 Aircraft assemblers and aircraft assembly inspectors,0.0875,28,0.595,1965,Other
7251 Plumbers,0.5825,28,0.5975,12960,Other
